******************************************************************
EQU:
******************************************************************
key: THAT, value: 4, line num: 0
key: R10, value: 10, line num: 0
key: R11, value: 11, line num: 0
key: R12, value: 12, line num: 0
key: R13, value: 13, line num: 0
key: R14, value: 14, line num: 0
key: R15, value: 15, line num: 0
key: SCREEN, value: 16384, line num: 0
key: ARG, value: 2, line num: 0
key: LCL, value: 1, line num: 0
key: KBD, value: 24576, line num: 0
key: THIS, value: 3, line num: 0
key: R0, value: 0, line num: 0
key: R1, value: 1, line num: 0
key: R2, value: 2, line num: 0
key: R3, value: 3, line num: 0
key: R4, value: 4, line num: 0
key: R5, value: 5, line num: 0
key: R6, value: 6, line num: 0
key: R7, value: 7, line num: 0
key: R8, value: 8, line num: 0
key: R9, value: 9, line num: 0
key: SP, value: 0, line num: 0
******************************************************************
ROM:
******************************************************************
key: RET_ADDRESS_CALL57, value: 4111, line num: 4271
key: RET_ADDRESS_CALL196, value: 14924, line num: 15396
key: bat.move, value: 3211, line num: 3342
key: RET_ADDRESS_CALL58, value: 4150, line num: 4311
key: RET_ADDRESS_CALL197, value: 15009, line num: 15482
key: RET_ADDRESS_CALL59, value: 4177, line num: 4339
key: RET_ADDRESS_CALL198, value: 15088, line num: 15562
key: screen.drawpixel$if_false0, value: 21025, line num: 21650
key: math.abs, value: 6774, line num: 7077
key: RET_ADDRESS_CALL199, value: 15173, line num: 15648
key: string.setint, value: 26291, line num: 27112
key: ponggame.moveball$if_true0, value: 5290, line num: 5517
key: output.createshiftedmap$if_true0, value: 18818, line num: 19340
key: ponggame.moveball$if_true1, value: 5449, line num: 5682
key: ponggame.moveball$if_true2, value: 5522, line num: 5758
key: ponggame.moveball$if_true3, value: 5560, line num: 5798
key: ponggame.moveball$if_true4, value: 5615, line num: 5856
key: string.length, value: 25339, line num: 26117
key: string.newline, value: 27034, line num: 27884
key: bat.dispose, value: 2786, line num: 2901
key: ball.bounce, value: 1835, line num: 1907
key: ball.setdestination, value: 652, line num: 672
key: array.new, value: 5808, line num: 6059
key: memory.alloc$if_end3, value: 9227, line num: 9623
key: memory.alloc$while_exp0, value: 8704, line num: 9088
key: string.eraselastchar$if_false0, value: 25859, line num: 26661
key: RET_ADDRESS_CALL60, value: 4200, line num: 4363
key: RET_ADDRESS_CALL61, value: 4218, line num: 4382
key: RET_ADDRESS_CALL62, value: 4236, line num: 4401
key: screen.init$while_exp0, value: 20420, line num: 21025
key: RET_ADDRESS_CALL63, value: 4254, line num: 4420
key: RET_ADDRESS_CALL64, value: 4272, line num: 4439
key: RET_ADDRESS_CALL65, value: 4290, line num: 4458
key: output.movecursor, value: 19350, line num: 19893
key: output.printstring$while_exp0, value: 19882, line num: 20461
key: RET_ADDRESS_CALL66, value: 4308, line num: 4477
key: RET_ADDRESS_CALL67, value: 4326, line num: 4496
key: RET_ADDRESS_CALL68, value: 4344, line num: 4515
key: RET_ADDRESS_CALL69, value: 4356, line num: 4528
key: screen.drawhorizontal, value: 23251, line num: 23953
key: output.backspace$if_false0, value: 20288, line num: 20888
key: output.backspace$if_false1, value: 20210, line num: 20805
key: output.backspace$if_false2, value: 20255, line num: 20853
key: sys.wait$if_true0, value: 27220, line num: 28086
key: ball.move, value: 1126, line num: 1161
key: ponggame.run$while_end0, value: 4943, line num: 5150
key: ponggame.run$while_end1, value: 4682, line num: 4869
key: RET_ADDRESS_EQ10, value: 4809, line num: 5005
key: ponggame.run$while_end2, value: 4941, line num: 5147
key: output.println$if_true0, value: 20117, line num: 20706
key: screen.drawrectangle$if_false0, value: 22524, line num: 23206
key: RET_ADDRESS_EQ11, value: 4846, line num: 5048
key: keyboard.readchar, value: 5944, line num: 6206
key: screen.drawrectangle$if_false1, value: 23014, line num: 23707
key: RET_ADDRESS_EQ12, value: 5275, line num: 5501
key: RET_ADDRESS_EQ13, value: 5442, line num: 5674
key: RET_ADDRESS_EQ14, value: 5987, line num: 6252
key: RET_ADDRESS_EQ15, value: 6284, line num: 6567
key: RET_ADDRESS_EQ16, value: 6331, line num: 6616
key: RET_ADDRESS_EQ17, value: 7311, line num: 7639
key: RET_ADDRESS_EQ18, value: 9056, line num: 9449
key: RET_ADDRESS_EQ19, value: 9458, line num: 9857
key: output.drawchar$while_exp0, value: 19068, line num: 19605
key: RET_ADDRESS_CALL300, value: 24828, line num: 25579
key: RET_ADDRESS_CALL301, value: 24915, line num: 25671
key: END_EQ, value: 19, line num: 20
key: RET_ADDRESS_CALL70, value: 4450, line num: 4624
key: RET_ADDRESS_CALL302, value: 24985, line num: 25743
key: RET_ADDRESS_CALL71, value: 4474, line num: 4649
key: RET_ADDRESS_CALL303, value: 25092, line num: 25852
key: sys.wait$if_false0, value: 27241, line num: 28109
key: RET_ADDRESS_CALL72, value: 4497, line num: 4673
key: ponggame.run$if_false0, value: 4736, line num: 4927
key: RET_ADDRESS_CALL304, value: 25123, line num: 25886
key: RET_ADDRESS_CALL73, value: 4520, line num: 4698
key: ponggame.run$if_false1, value: 4792, line num: 4987
key: RET_ADDRESS_CALL305, value: 25168, line num: 25934
key: RET_ADDRESS_CALL74, value: 4627, line num: 4811
key: ponggame.run$if_false2, value: 4831, line num: 5029
key: RET_ADDRESS_CALL306, value: 25214, line num: 25984
key: RET_ADDRESS_CALL75, value: 4652, line num: 4837
key: ponggame.run$if_false3, value: 5185, line num: 5406
key: RET_ADDRESS_CALL307, value: 25305, line num: 26080
key: RET_ADDRESS_CALL76, value: 4675, line num: 4861
key: RET_ADDRESS_CALL308, value: 25328, line num: 26105
key: RET_ADDRESS_CALL77, value: 4729, line num: 4919
key: RET_ADDRESS_CALL309, value: 25461, line num: 26245
key: RET_ADDRESS_CALL78, value: 4785, line num: 4979
key: string.setcharat$if_true0, value: 25581, line num: 26371
key: RET_ADDRESS_CALL79, value: 4886, line num: 5089
key: screen.drawhorizontal$while_exp0, value: 24026, line num: 24749
key: array.dispose, value: 5877, line num: 6134
key: screen.drawline, value: 21289, line num: 21925
key: string.new$if_false0, value: 25173, line num: 25940
key: string.new$if_false1, value: 25220, line num: 25991
key: memory.alloc$while_end0, value: 8787, line num: 9173
key: RET_ADDRESS_EQ20, value: 9717, line num: 10119
key: RET_ADDRESS_EQ21, value: 18811, line num: 19332
key: math.divide$if_true0, value: 7318, line num: 7647
key: RET_ADDRESS_EQ22, value: 19576, line num: 20130
key: output.backspace$if_end0, value: 20300, line num: 20901
key: screen.init$while_end0, value: 20592, line num: 21199
key: math.divide$if_true1, value: 7626, line num: 7966
key: RET_ADDRESS_EQ23, value: 19633, line num: 20191
key: output.backspace$if_end1, value: 20277, line num: 20876
key: screen.drawconditional$if_true0, value: 21219, line num: 21850
key: math.divide$if_true2, value: 7817, line num: 8159
key: RET_ADDRESS_EQ24, value: 19682, line num: 20245
key: screen.drawline$if_false0, value: 21410, line num: 22054
key: math.divide$if_true3, value: 7919, line num: 8268
key: RET_ADDRESS_EQ25, value: 19804, line num: 20374
key: output.printstring$while_end0, value: 19975, line num: 20558
key: screen.drawline$if_false1, value: 21698, line num: 22349
key: math.divide$if_true4, value: 8054, line num: 8406
key: RET_ADDRESS_EQ26, value: 20110, line num: 20698
key: screen.drawline$if_false2, value: 21844, line num: 22498
key: string.setcharat$if_false0, value: 25604, line num: 26396
key: RET_ADDRESS_EQ27, value: 20237, line num: 20833
key: screen.drawline$if_false3, value: 22189, line num: 22854
key: screen.drawline$if_false4, value: 22262, line num: 22929
key: RET_ADDRESS_EQ28, value: 22958, line num: 23648
key: RET_ADDRESS_EQ29, value: 23915, line num: 24633
key: RET_ADDRESS_CALL310, value: 25599, line num: 26390
key: screen.drawcircle$if_true0, value: 24566, line num: 25307
key: RET_ADDRESS_CALL311, value: 25715, line num: 26511
key: RET_ADDRESS_CALL80, value: 4911, line num: 5115
key: screen.drawcircle$if_true1, value: 24727, line num: 25475
key: RET_ADDRESS_CALL312, value: 25854, line num: 26655
key: LOOP_string.setint, value: 26293, line num: 27115
key: RET_ADDRESS_CALL81, value: 4934, line num: 5139
key: screen.drawcircle$if_true2, value: 24882, line num: 25637
